Complexity,Loss,Equation
1,0.031645663,"x26"
3,0.03135751,"x26 + 0.016983427"
5,0.028387625,"x26 + (0.018192697 / x2)"
7,0.012448572,"(2.3628374e-5 / (2.3628374e-5 - x8)) + x26"
9,0.012397295,"(6.919426e-5 / (6.919426e-5 + x26)) + (x26 / 1.0218936)"
11,0.012233025,"x26 + (0.00112195 / (x26 + ((x21 + 0.00047541218) * 2.363119)))"
13,0.010723798,"(((x26 + -1.3099549) / ((x8 + x2) / -0.09825165)) - 0.12571928) + x26"
15,0.008390081,"x26 + ((-0.117268816 + ((x26 + -1.2109396) / (x2 / -0.10437199))) + (x8 * -0.1997762))"
17,0.0077534122,"(x26 + (((x26 + -1.1715266) / (x2 / -0.10430788)) + ((x8 * x8) * -0.30913493))) + -0.101634465"
19,0.007341853,"((x26 + -0.09787839) + ((x8 * x8) * -0.35722533)) + ((x26 + -1.1629071) / ((x2 / -0.10635319) + x14))"
21,0.006954769,"((x26 + ((x26 + -1.1188804) / (x2 / -0.112283275))) + (x8 * ((x8 * -0.35327935) - (x23 * -0.12684353)))) + -0.09611765"
23,0.0065374104,"(((x26 + -1.3526318) / (((x2 / ((x8 * 0.25867194) + -0.3517125)) + (x12 * x20)) + -0.7295276)) + (x26 - 0.3770321)) / 0.91498935"
25,0.0052409773,"((x26 + -0.10149236) + ((x8 * (x8 - (x22 * (0.33313915 - (x23 * -0.49041745))))) * -0.5097104)) + ((x26 + -1.0688983) / (x2 / -0.11886153))"
27,0.0048766076,"((x26 + ((x26 + -1.0550367) / ((x2 / -0.12065704) + x14))) - 0.09803372) + (((x8 - (x22 * (0.25834367 - (x23 * -0.48443952)))) * -0.5842384) * x8)"
