Complexity,Loss,Equation
1,0.024952922,"x26"
3,0.02464048,"x26 - -0.017665785"
5,0.022365248,"x26 - (-0.016272591 / x2)"
7,0.0055923923,"x26 - (-7.877862e-6 / (x26 + 7.877951e-6))"
9,0.0055221873,"(x26 - (-7.595417e-6 / (x26 + 7.5954567e-6))) / 1.014361"
11,0.0045985426,"x26 - ((-4.3977734e-6 / (4.397771e-6 - x26)) - (x14 * -0.02891363))"
13,0.00447273,"((x26 - (-0.12284613 / (x8 + (x2 + x26)))) / 0.9537276) - 0.13822137"
15,0.0038874745,"(x26 + -0.10427061) - ((((0.8792047 - x8) * 0.12171956) * (x26 - 1.1548932)) / x2)"
17,0.0028864308,"x26 - ((0.050758336 / x2) * ((x26 - 0.997378) * ((0.24823761 - (x19 + x8)) / x2)))"
19,0.0025925222,"(x26 - (((x19 + (-0.06318516 / x2)) * 0.20541756) / (x2 + (x26 * (x26 * 5.239362))))) - 0.024634143"
21,0.00228069,"((x26 - ((x19 + (-0.07659328 / x2)) * (0.16444121 / (x2 + ((x26 * x26) / x2))))) / 0.9649504) - 0.031556733"
23,0.0020845581,"((x26 - (((x19 + (-0.0741968 / x2)) / ((x26 * ((x19 - 0.40785992) / x2)) + x2)) * 0.16717172)) / 0.96023566) - 0.01957168"
25,0.0020027237,"((x26 - ((((-0.06523409 / x2) + x20) * 0.19285165) / (x2 + (((x16 - x2) / x2) * (x26 / x2))))) / 0.96754026) - 0.024743902"
27,0.0019166262,"((x26 - ((((-0.27667394 / (x2 - -0.41573375)) + x20) / ((((x26 / x2) / x2) * (x15 - x2)) + x2)) * 0.21538672)) / 0.9579446) - 0.046019573"
29,0.0019020364,"((x26 - ((((-0.333835 / (x2 - -0.54264617)) + x20) * 0.22271293) / (x2 + (((x15 - x2) * ((x26 / x2) / x2)) / x2)))) / 0.9566321) - 0.054148026"
