Complexity,Loss,Equation
1,0.027212754,"x26"
3,0.026951078,"x26 + 0.016187236"
5,0.024554877,"x26 + (0.016419135 / x2)"
7,0.0076188184,"(7.743686e-6 / (x26 + 7.743909e-6)) + x26"
9,0.007616339,"x26 + (0.0008297779 / ((x26 / 0.07667279) + 0.0008297779))"
11,0.007087427,"(x26 - (x18 * 0.07389112)) + (0.0009807819 / (x26 + 0.0009807819))"
13,0.006343673,"(((0.12221705 / ((x26 + x8) + x2)) + x26) / 0.9452814) + -0.14173836"
15,0.005839184,"(((-0.38421795 / ((x26 * x26) + x2)) - -0.25145417) * (x8 + -0.31481513)) + x26"
17,0.0047031576,"((x26 / 0.91768765) + (0.13088153 / (x26 + (x8 + x2)))) + (-0.15517935 - (x15 * 0.0792765))"
19,0.0040156366,"x26 + ((((x2 + (x8 + x19)) + -1.0696465) * -0.11515639) / (((x26 / x2) - x26) + x2))"
21,0.0039330167,"((((x2 + ((x19 + x8) + -1.1625793)) * -0.108540155) / (x2 + ((x26 / x2) - x26))) + x26) + -0.014387827"
23,0.0038292054,"((((x2 + -1.1828715) + x19) + x8) * (-0.10659752 / (x2 + ((x26 / x2) - x26)))) + (x26 + (x2 * -0.01918296))"
25,0.003446901,"(x26 + (((x19 + ((-0.92540175 / x2) + x8)) * 0.028353518) / ((x26 * ((-0.4339127 / (x2 + x8)) - -0.36648092)) - 0.20297192))) + -0.13807327"
27,0.0034455007,"((((x19 + x8) + (-0.9384459 / x2)) * (0.028629597 / ((x26 * ((-0.42019257 / (x8 + x2)) - -0.36588216)) - 0.20522194))) + (x26 + -0.14016666)) / 1.0080353"
29,0.0033146546,"((((((((x8 + (x2 + x3)) + x19) + -0.30969998) * (x0 + x2)) + -0.022582822) * -0.16851561) + 0.10498749) / ((x2 + (x26 / x2)) - x26)) + x26"
