Complexity,Loss,Equation
1,0.018090378,"x26"
3,0.017898057,"x26 - -0.013867979"
5,0.016143432,"x26 + (x17 * -0.088080294)"
7,0.007174458,"x26 - (4.497867e-5 / (x2 + -0.1125468))"
9,0.0071201306,"x26 - (4.5191733e-5 / (x8 + (-0.1125468 + x2)))"
11,0.005317104,"x26 - ((4.3923672e-5 / (-0.1125468 + x2)) - (x17 * -0.09005832))"
13,0.0046400037,"(x26 - ((4.2407184e-5 / (x2 + -0.112546824)) - (x19 * -0.1125468))) * 1.0598716"
15,0.004050213,"x26 - ((4.493843e-5 / (x2 + -0.1125468)) - (-0.1125468 * (x2 * (x19 + x8))))"
17,0.0038431915,"(x26 - (((-0.0031316113 / (x2 + -0.1125465)) - (x19 + x8)) * (x2 * -0.124033175))) * 1.0259045"
19,0.003744876,"(x26 - ((4.414225e-5 / (x2 + -0.1125468)) - (((x19 + (x8 - -0.1125468)) * x2) * -0.12362429))) * 1.0208021"
21,0.0033964512,"((x26 - (4.337614e-5 / (x2 + -0.1125468))) - ((x2 * ((x14 - x16) - (x19 + x8))) * -0.12362429)) / 0.9615787"
23,0.0032866898,"((x26 - (4.3351185e-5 / (x2 + -0.1125468))) - ((x2 * (-0.086268604 - (x8 + ((x16 - x14) + x19)))) * -0.12362429)) / 0.9615787"
27,0.0032842578,"((((x10 + x26) - (4.337614e-5 / (-0.1125468 + x2))) - ((-0.086268604 - ((x8 + (x16 - x14)) + x19)) * (x2 * -0.12362429))) / 0.9615787) - -0.0019217273"
