Complexity,Loss,Equation
1,0.38400158,"0.24777655"
3,0.31118882,"0.7445537 - x2"
5,0.27405056,"(x10 + 0.8509467) - x2"
7,0.212542,"(-2.4519732 / (x21 + -2.9034348)) - x2"
9,0.16152114,"((-2.2261417 / (x26 + -2.5988142)) + x10) - x2"
11,0.14938882,"((x10 + -0.7061559) + (-5.8566647 / (x26 + -3.7284424))) - x2"
13,0.12414892,"(((x10 * x24) + (x2 / 1.7254487)) * (x25 - 1.1411268)) - -0.70115715"
15,0.11518465,"(((x10 * x10) + (x2 / 2.8548021)) * ((x26 + x25) - 1.8680545)) - -0.73937833"
17,0.10591327,"(((x25 + x26) - 1.6996666) * (x2 / 2.948625)) + ((x10 * (x24 * -1.7196995)) - -0.64753884)"
19,0.08976091,"(((x2 / 1.7686775) * (((x22 - x19) + -1.0731696) + x25)) + (x10 * (x24 * -1.9043244))) - -0.6594813"
21,0.080900475,"(x10 * (x24 * -1.8344545)) + (((x2 * (((x26 + x25) - (x19 - x22)) - 1.7134836)) / 2.910105) - -0.66660184)"
23,0.06821807,"(((x24 * -2.042807) * x10) + 0.6915646) + (((x2 / 3.63294) - -0.010965504) * (((x26 - (x19 - x22)) + x25) - 2.2224689))"
25,0.059897617,"((x10 * (x24 * -2.0562036)) + (((x2 / 3.6212788) - -0.011246935) * ((x26 - x8) + ((x25 - (x19 - x22)) - 2.191637)))) + 0.69369614"
27,0.05220276,"((x10 * x24) * -1.9195545) + ((0.8161456 + x9) + (((x2 / 3.6557007) - -0.013712508) * (((x26 - (x8 - x25)) - (x19 - x22)) - 2.5835557)))"
29,0.051246144,"(x3 + x9) + (((((x2 / 3.7082205) - -0.014056737) * (((x26 - (x8 - x25)) - (x19 - x22)) - 2.6490753)) + (x24 * (x10 * -1.9719601))) + 0.8278796)"
