Complexity,Loss,Equation
1,0.03041951,"x26"
3,0.03014023,"x26 - -0.0167007"
5,0.027269173,"x26 - (-0.017926462 / x2)"
7,0.021489425,"x26 - (0.0022923779 / (0.10857547 - x2))"
9,0.011409785,"x26 - (0.002638829 / ((x26 - x2) + 0.109788574))"
11,0.010354501,"x26 - (0.0126553625 / ((x2 * x2) / (x26 + -1.0013087)))"
13,0.00999979,"x26 - (0.012667346 / ((x2 / ((x26 + x2) + -1.1266556)) * x2))"
15,0.0077246595,"x26 - (((-0.11583398 / (x2 / (x26 + -1.1657197))) * (x8 - 0.9605216)) - -0.11710618)"
17,0.007724037,"(x26 - (((x8 - 0.94937086) * -0.11705502) / (x2 / ((x26 + 0.19562094) - 1.3605714)))) - 0.116383"
19,0.0070397486,"x26 - (0.014352769 / (((x2 * x2) * (x8 - (-0.50905895 / (0.46698 - x8)))) / (x26 + -1.0119057)))"
21,0.0067760656,"x26 - (0.0124830585 / (((x8 - (-0.48665616 / (0.4964843 - x8))) * (x2 / ((-0.89116853 - x2) + x26))) * x2))"
23,0.0067443163,"(x26 - (0.012452624 / ((((x8 - (-0.4857215 / (0.49800256 - x8))) * x2) / ((-0.89878404 - x2) + x26)) * x2))) + -0.0065977885"
25,0.00593117,"x26 - ((0.015612524 / (x2 * ((x8 - (-0.5339171 / ((x23 * 0.08667229) - (x8 - 0.43728077)))) / ((-0.89356613 - x2) + x26)))) / x2)"
27,0.00528982,"x26 - (0.023500731 / ((x2 / (((x26 * x26) + -0.87352926) - x2)) * (x2 * (x8 - (-0.6297633 / ((x22 * 0.19268407) - (x8 - 0.34920177)))))))"
29,0.004790444,"x26 - (0.029537352 / ((x8 - (-0.69545734 / (((x20 * 0.3453875) * x23) - (x8 - 0.3026341)))) * (x2 * (x2 / ((x26 * x26) + (-0.87335706 - x2))))))"
