Complexity,Loss,Equation
1,0.019805882,"x26"
3,0.019777361,"x26 + 0.0053229937"
5,0.018160151,"(0.0152158765 / x2) + x26"
7,0.012954972,"x26 - (-0.0017157659 / (x2 - 0.10915192))"
9,0.0066987537,"x26 - (-0.0029201321 / (x8 + (x2 - 0.10955939)))"
11,0.006539454,"(x26 - (-0.0029201321 / (x8 + (x2 - 0.10955939)))) + -0.012964537"
13,0.005291602,"x26 - ((-0.0029201321 / (x2 + (x8 - 0.10955939))) - (-0.076341614 * x17))"
15,0.0050387564,"(-0.04141032 / (((-0.4077663 - x8) * x2) / (1.2294128 - x26))) + (x26 + -0.12969784)"
17,0.004884552,"((1.0345576 * x26) - (-0.0029201324 / (x2 + (x8 - 0.10955939)))) - ((x19 - -0.10197862) * 0.10955939)"
19,0.0038432367,"(x26 + -0.13486244) + (-0.2090717 / ((-1.5678011 / (((x26 + 0.99068373) - x20) / (x2 + x8))) - x26))"
21,0.003328552,"-0.15055054 + ((-0.24959655 / (-1.7322421 / (x26 + (((0.94343185 - x19) / (x2 + x8)) * (1.0099542 - x26))))) + x26)"
23,0.0033285518,"(-0.24959655 / (-1.7322421 / ((((1.0099542 - x26) * (0.94343185 - x19)) / (x8 + x2)) + x26))) + ((x26 + -0.15055054) + x6)"
25,0.0028434081,"((-0.17985448 / ((-0.8871338 / ((0.97098327 - x26) * ((0.70931894 - x22) + (0.99221534 / (x8 + x2))))) + -0.097559646)) + (x26 + -0.28476134)) / 0.6894576"
27,0.0027213278,"(x26 + ((-0.1652507 / ((-0.9038814 / ((0.99484843 - x26) * ((((1.7057353 / (x2 + x8)) * 0.69722366) + 0.70773727) - x22))) + -0.08572927)) + -0.29318085)) / 0.70063674"
29,0.0027207814,"((x26 + ((-0.16580804 / ((-0.90683365 / ((0.9988638 - x26) * (((1.7069432 / (x2 + x8)) * 0.7002032) + (0.70311505 - x22)))) + -0.086407855)) + -0.2940241)) / 0.7019331) - x6"
