Complexity,Loss,Equation
1,0.033417255,"x26"
3,0.032591157,"x26 * 0.9379869"
5,0.029760942,"x26 + (0.025235461 / x2)"
7,0.02227326,"(x26 * x2) + (0.097645074 / x2)"
9,0.015204932,"(0.12717898 / x2) + ((x26 * x2) + -0.10989251)"
11,0.009954498,"((((x26 + -1.1663622) / -10.197005) / x2) + x26) + -0.12438289"
13,0.0087115355,"((((x26 + (x8 + -1.3562822)) / -11.439013) / x2) + x26) + -0.11644851"
15,0.0075001502,"x26 + (((x26 + -1.136719) / (6.966808 / (x8 + (-0.73124397 / x2)))) + -0.11267802)"
17,0.0070404722,"(((x26 + -1.1239344) / ((6.4076014 / (x8 + (-0.6865295 / x2))) + x8)) + -0.11267351) + x26"
19,0.006567448,"((x26 + -1.1456071) / (6.9847775 / ((-0.7335363 / x2) + x8))) + ((x26 + (x17 * -0.06683091)) + -0.11961618)"
21,0.0057322853,"(((x26 + x26) + -2.2951827) / (-20.701265 / ((1.0968384 / x2) - (x8 + (x19 - x25))))) + (x26 - 0.11720021)"
23,0.004892507,"(((x26 + -2.281313) + x26) / ((-18.34345 / ((1.0468862 / x2) - (x8 + (x19 - x26)))) + x18)) + (x26 - 0.122585535)"
25,0.004725075,"x26 + (((x26 + (x26 + (x26 + -3.4084973))) / (x19 + (-28.0614 / ((1.0820414 / x2) - (x19 + (x8 - x25)))))) - 0.12548843)"
27,0.004672223,"(x26 - 0.123180054) + ((((x26 + x26) + x26) + -3.408188) / ((x18 + x8) + (-28.062141 / ((1.0658562 / x2) - ((x19 + x8) - x25)))))"
29,0.0046130107,"(x26 - 0.121849805) + ((((x26 + x26) + x26) + -3.4221003) / (((-28.917416 / ((1.0816636 / x2) - (x19 + (x8 - x25)))) + x18) + (x8 * x20)))"
