Complexity,Loss,Equation
1,0.013651617,"x26"
3,0.01358416,"x26 + 0.00823377"
5,0.012065689,"x26 + (x17 * -0.08576413)"
7,0.010210695,"x26 - (-0.0014509079 / (x2 + -0.10943046))"
9,0.006550318,"x26 - (0.0010885447 / ((x2 + -0.11369982) + x8))"
11,0.006528599,"(x26 * 0.9884159) - (0.0010885447 / ((x2 + -0.11369982) + x8))"
13,0.0049900836,"x26 - ((0.0010885447 / (-0.11369982 + (x2 + x8))) - (-0.08858646 * x17))"
15,0.0046447134,"(x26 - 0.11667385) - ((-0.12754273 - (x18 * -0.13000244)) / (x2 + (x26 * x26)))"
17,0.0038895076,"x26 - (0.13093026 - (((0.7235586 - (x19 * x2)) * 0.18209966) / ((x26 * x26) + x2)))"
19,0.003137313,"x26 - ((((x26 - 1.0099559) * 0.122805215) / x2) * (0.9431896 - (x2 * (x8 + (x2 + x19)))))"
21,0.0031317198,"x26 - ((((x26 - 1.0152375) * (1.0025916 - (((x2 + x19) * x2) + x8))) * 0.11598936) / (x2 + 0.003978403))"
23,0.0028327627,"x26 - ((0.92587197 - (((x8 + x19) * x2) + x2)) * ((((x26 - 1.1359099) / x2) + (x26 * x26)) * 0.12377469))"
25,0.0026178914,"x26 - ((x26 - 1.5476581) * (((1.0011042 - (((x2 + x19) * x2) + x8)) * 0.12188338) / (x2 + ((x26 * x26) + 0.06816232))))"
27,0.0022975474,"x26 - (((x26 * x26) - (1.5097051 / (((x26 * x26) + 0.1568389) + x2))) * ((0.9937726 - ((x2 + (x19 + x8)) * x2)) * 0.18092367))"
29,0.0021262094,"x26 - (((x26 * x26) - (1.5093193 / (((x26 * x26) + x2) + 0.12626337))) * ((1.0024664 - (x2 * (x19 + ((x8 / 0.7062849) + x2)))) * 0.1614165))"
