Complexity,Loss,Equation
1,0.39207953,"-0.070697606"
3,0.22030045,"0.84359723 - x2"
5,0.15252976,"x26 / (1.8997978 - x26)"
7,0.11162465,"x26 * ((x26 * 0.115761615) + 0.8955591)"
9,0.10873879,"x26 * (0.8930117 - (-0.11643217 * (x26 + x24)))"
11,0.095682405,"(x21 - (x26 * ((x26 * -0.8517159) - 6.72307))) * 0.12292852"
13,0.08213939,"((x21 - (((x26 * -0.83853143) - 6.392437) * x26)) - x12) * 0.12979284"
15,0.07773113,"((x21 - x19) - (x26 * (x12 + ((x26 * -0.65094316) - 5.859841)))) * 0.15555353"
17,0.07289929,"(((x21 - x19) + x25) - (((x26 * -0.5668565) + (x12 - 5.306379)) * x26)) * 0.14481986"
19,0.06052818,"(((x24 * x18) * -0.18738683) + ((x21 - x19) * 0.16440217)) - (((x26 * -0.1208189) - 0.9222207) * x26)"
21,0.059702493,"((x21 - x19) + (((x18 * x24) * x25) - (x26 * ((x26 * -0.5642246) + (x12 - 5.216085))))) * 0.1675059"
23,0.056480855,"(((x21 - x19) + (x25 * ((x18 * x24) + 0.49893972))) - (x26 * ((x26 * -0.50625646) + (x12 - 4.8159776)))) * 0.16476718"
25,0.054120734,"(((x17 * -0.6642542) + (x24 * (x18 * x25))) + ((x21 - x19) - (x26 * (x12 + ((x26 * -0.6034477) - 5.40415))))) * 0.17184745"
27,0.05331867,"((x25 * (x24 * x18)) + ((x12 * ((x21 + -0.53572905) - x19)) - ((((x12 - 7.1584864) + (x26 * -0.831894)) * 0.622265) * x26))) * 0.2005891"
29,0.052746914,"(((x25 * (x24 + 0.140793)) * x18) + ((x12 * ((x21 + -0.53572905) - x19)) - ((((x12 - 7.1584864) + (x26 * -0.831894)) * 0.622265) * x26))) * 0.2005891"
