Complexity,Loss,Equation
1,0.027660452,"x26"
3,0.027087254,"x26 + 0.02390957"
5,0.024646627,"(0.017573938 / x2) + x26"
7,0.009300726,"(-0.0026422576 / (x26 - 0.0023516295)) + x26"
9,0.008276094,"x26 + (0.16711012 / ((x26 * -454.911) + 0.16711655))"
11,0.008097752,"(x26 * 0.97822857) + (0.1185254 / ((x26 * -505.17447) + 0.1185254))"
13,0.0064771776,"(x26 + (x2 / ((x26 * -18151.73) + x2))) + (x17 * -0.06963683)"
15,0.0061777933,"((1.0916296 * x26) + (0.096106514 / (0.096106514 - (x26 / 0.00048084612)))) + (-0.13720794 * x22)"
17,0.0057566646,"(0.10825856 / (((x21 * 20935.277) + 0.1083185) - x26)) + ((x26 * 1.1174891) + (x21 * -0.15614958))"
19,0.0057305284,"((x26 * 1.1185423) + (0.10889248 / ((x21 * (x26 * 1920.2386)) + (0.10896103 - x26)))) + (x21 * -0.15695593)"
21,0.0053832084,"(((x21 * -0.13538) + x26) / ((x26 / -29.434582) + 0.8979765)) + (x2 / ((x2 - x26) + (x21 * 15477.2295)))"
23,0.0052117347,"((((x21 * -0.13538) + x26) / ((x26 / -29.434582) + 0.8979765)) + (x2 / ((x2 - x26) + (x21 * 15477.2295)))) - 0.009069175"
25,0.004136253,"((x2 / (0.13118966 - (x26 - (x21 * 16930.3)))) + (x26 + (x21 * -0.1498681))) / ((x26 / ((x26 + 1.5280523) * -35.22909)) + 0.86015856)"
27,0.004048169,"(((x2 / (0.13358963 - (x26 + (x21 * 12854.308)))) + (-2.518247 / ((x26 + 1.5710601) * -34.749683))) + (((x21 * -0.14950666) + -0.056415673) + x26)) / 0.83337086"
29,0.003988624,"(((x2 / (0.12847714 - (x26 + (x21 * 16930.3)))) + (x26 + (x21 * -0.15894927))) / (((x26 + -0.13512628) / ((x26 + 1.5295784) * -34.808502)) + 0.85230666)) + -0.013667151"
