Complexity,Loss,Equation
1,0.02812256,"x26"
3,0.027700186,"x26 - -0.020556021"
5,0.025445037,"x26 + (0.016425138 / x2)"
7,0.008737843,"x26 + (8.574745e-6 / (8.574745e-6 - x26))"
9,0.008688799,"(x26 + (0.00039844675 / (0.0003903667 - x8))) * 0.97950435"
11,0.008246754,"x26 + (0.0021540243 / (x8 + ((x2 * x2) * 0.1709653)))"
13,0.008017537,"(x26 / 1.0252526) + (0.012625999 / ((x2 * x2) + (x8 / 0.1715163)))"
15,0.006769173,"(x26 + (x17 * -0.063887134)) + (0.012502623 / ((x8 / 0.17469871) + (x2 * x2)))"
17,0.006049506,"(x17 * -0.07627871) + (x26 + ((0.013086714 / ((x2 * x2) + (x8 / 0.17128208))) - 0.029071687))"
19,0.004935233,"(0.012874405 / ((x2 * x2) + (x8 / 0.16954553))) + ((((x19 + 0.43338263) * x2) * -0.13226372) + x26)"
21,0.0046972856,"(0.012689774 / ((x8 / 0.1757336) + (x2 * x2))) + ((((x19 + (x8 + 0.32639423)) * x2) * -0.11970252) + x26)"
23,0.0044328477,"(0.012651226 / ((x2 * x2) + (x8 / 0.17446898))) + ((x2 * ((x8 + ((x19 + 0.35678783) * x2)) * -0.13329248)) + x26)"
25,0.0042715333,"(0.012712904 / ((x2 * x2) + (x8 / 0.17420867))) + (((x2 * ((x8 + (x19 + 0.40032116)) * -0.14368522)) * x2) + (x26 / 1.0241764))"
27,0.0041592466,"(x2 * ((x8 + ((x19 + 0.5590457) * x2)) * -0.13972218)) + ((x26 / 1.0339215) - ((-0.012350203 / ((x8 / 0.17344517) + (x2 * x2))) + -0.027738446))"
29,0.0041544302,"((x26 / 1.0361104) + ((x2 * (x8 + (x2 * (x19 + 0.587588)))) * -0.14286987)) - (((-0.01230958 / ((x8 / 0.17486337) + (x2 * x2))) + -0.033077937) - x5)"
