Complexity,Loss,Equation
1,0.010938363,"x26"
3,0.010886902,"x26 / 1.015999"
5,0.009634543,"x26 - (x17 * 0.0789116)"
7,0.008399435,"(0.0010744866 / (x2 + -0.11025907)) + x26"
9,0.0061380765,"x26 + (0.0020947133 / (x8 + (x2 + -0.11012268)))"
11,0.005302116,"(x26 + (x19 * -0.07970717)) + (-1.7431717e-5 / (-1.7431717e-5 + x8))"
13,0.0049015605,"(x26 + (0.004057603 / ((x8 + x2) + -0.107832596))) + (x19 * -0.07836718)"
15,0.0043394687,"(-0.07377266 * (x8 + x20)) + (x26 + (0.004057603 / ((x8 + x2) + -0.107832596)))"
17,0.0039879736,"((((-1.1695358 - x19) * x2) + (x2 / (x2 + (x8 + -0.096381396)))) * 0.12816426) + x26"
19,0.0032499502,"x26 + (((x2 / ((x8 + (x8 + x2)) + -0.09675383)) + ((-1.1879058 - x19) * x2)) * 0.12776631)"
21,0.0031411662,"x26 + ((((1.004556 / ((x8 / x2) + ((x2 + x8) + -0.09419108))) + (-1.2045249 - x19)) * x2) * 0.14375447)"
23,0.003036916,"(x26 + 0.03723681) + (((x2 * (-1.4151196 - x19)) + (x2 / (((x8 + x8) / x2) + (x2 + -0.09378495)))) * 0.14068566)"
25,0.0030190519,"(x26 + 0.059256364) + (((x2 / ((x2 + (((x8 + x8) / x2) / x2)) + -0.09363002)) + ((-1.5681534 - x19) * x2)) * 0.14253116)"
27,0.0029490583,"x26 + ((((x2 / (x2 + (((x8 + x8) / x2) + -0.09229158))) + (((-1.3972158 - x19) * x2) - (x15 * -0.10484414))) * 0.15850197) + 0.04050277)"
29,0.0028310532,"(((((x2 * (-1.3923644 - x19)) + (x2 / (((((x8 + x8) / x2) / x2) + -0.08711307) + x2))) * 0.19362317) - (x17 * -0.056269575)) + 0.05523061) + x26"
