Complexity,Loss,Equation
1,0.013029686,"x26"
3,0.012881004,"x26 * 0.97331566"
5,0.011412538,"(x17 * -0.08758006) + x26"
7,0.010964068,"((x8 + x19) * -0.08048893) + x26"
9,0.010205184,"(((x8 + x19) * x2) * -0.12215847) + x26"
11,0.009399745,"((((x8 + x19) - 1.0405667) + x2) * -0.13186681) + x26"
13,0.007786388,"((x2 - 1.0299419) * ((x2 + (x26 * 0.62145984)) - 0.77657115)) + x26"
15,0.007316301,"x26 + (((x26 - 0.98106337) * ((x2 - 0.84802574) * -1.1068144)) * (x2 - 1.0885966))"
17,0.004401783,"x26 + ((x26 - 1.005683) * ((x15 + (x2 - 1.1515278)) * ((x2 - 1.1548783) * -0.7769043)))"
19,0.0042473646,"x26 + ((((x2 + (x15 - 0.980677)) * (x26 - 1.000744)) * (x2 - 1.2134037)) * (x2 - 1.2134063))"
21,0.0037861683,"((x2 - 1.3650545) * ((x2 - 1.3650559) * ((x2 + (x15 - 1.1070974)) * ((x26 - 1.0053452) * 0.6186412)))) + x26"
23,0.003778115,"(x26 + ((x2 - 1.3572893) * ((x2 - 1.3572891) * (((x15 + x2) - 1.0947113) * ((x26 - 1.011707) * 0.6266896))))) * 0.9911341"
25,0.002860063,"x26 + ((-0.82694376 * ((x2 + ((x2 * (x8 + (x21 * 0.5127362))) - 1.0893444)) * (x26 - 0.9990624))) * (x2 - (1.2961699 - x1)))"
27,0.0028430182,"((((x2 - (1.2876137 - x1)) - x0) * (((x2 + (x2 * (x8 + (x21 * 0.54705554)))) - 1.0818963) * -0.818425)) * (x26 - 1.0059097)) + x26"
29,0.0027025207,"((x26 + ((x2 - (1.3028105 - x1)) * ((x26 - 1.0263264) * ((x2 + ((x2 * (x8 + (x21 * 0.5225688))) - 1.1578085)) * -0.793599)))) - x0) + -0.025023237"
