Complexity,Loss,Equation
1,0.01747804,"x26"
3,0.01732152,"x26 + 0.012516792"
5,0.016013853,"(x17 * -0.07671311) + x26"
7,0.013924869,"x26 - (-0.034794256 / (x8 + x2))"
9,0.011242333,"x26 - (-0.056903917 / (x2 + (x8 / x2)))"
11,0.0064709014,"(x26 - (-0.117690586 / (x2 + (x8 / x2)))) + -0.10296973"
13,0.005981595,"x26 - ((-0.115497425 / (x2 + ((x8 / x2) / 0.40146077))) - -0.09666329)"
15,0.005630365,"x26 - (((-0.038378302 / (((x2 / 2.3695972) + x8) + -0.04557596)) + x17) * 0.046662685)"
17,0.0049442723,"x26 - ((((-0.06360449 / (((x2 / 2.1464648) + x8) + -0.04755744)) + x8) + x19) * 0.07177319)"
19,0.004101706,"x26 - ((x2 * 0.088749975) * (((-0.14668123 / ((x8 + (x2 / 3.0369897)) + -0.03551257)) - -0.6730979) + x19))"
21,0.0036564765,"x26 - ((x2 * (x19 + (((-0.14668135 / ((x8 + (x2 / 3.0369897)) + -0.035509504)) + x8) + 0.5694044))) * 0.08875033)"
23,0.0035813733,"x26 - ((((((x19 + 0.56728524) * 1.1295636) + (-0.14668135 / (((x2 / 3.0369897) + x8) + -0.035509504))) + x8) * 0.08875033) * x2)"
25,0.0035014017,"(x26 + 0.030468863) - (((-0.14668112 / ((x2 / 3.0369895) + (x8 + -0.035457086))) + (((x8 + x19) + 0.81475633) * 1.2270453)) * (x2 * 0.0887504))"
27,0.0034901458,"((x26 + 0.030468863) - (x2 * (((-0.14668112 / (((x2 / 3.0369895) + -0.035457086) + x8)) + (((x8 + 0.81475633) + x19) * 1.256847)) * 0.0887504))) / 1.0044482"
29,0.0033957202,"((-0.4432915 - (((x19 + (x2 + x8)) + (-0.1466775 / (((x2 / 3.036985) + x8) + -0.03515661))) * 1.1822841)) * (x2 * 0.088746004)) + (x26 + (x2 * 0.08875049))"
