Complexity,Loss,Equation
1,0.026270777,"x26"
3,0.025866799,"x26 + 0.020098371"
5,0.023587672,"x26 + (0.016536754 / x2)"
7,0.0069178464,"x26 + (0.00031532533 / (0.00031532533 - x26))"
9,0.0068364525,"x26 + (0.00031541492 / (x2 - (x8 + 0.11218437)))"
11,0.0065744887,"(0.120963395 / (x2 + (x26 + x8))) + (x26 + -0.1338366)"
13,0.005576773,"((x26 + -0.13083005) + (0.1218137 / (x8 + (x26 + x2)))) * 1.0545487"
15,0.0049974844,"(x26 + (-0.033098005 / (x26 + (x2 + (x2 - 0.25827232))))) + (x18 * -0.080783755)"
17,0.0036459835,"((x26 * 1.0980778) + ((0.12921926 / (x26 + (x8 + x2))) + (x17 * -0.08873146))) - 0.15140422"
19,0.003628656,"(((0.09021461 / (x2 + (x26 + (x8 - 0.023304641)))) + (x26 + (x19 * -0.092482574))) * 1.1075984) - 0.12159879"
27,0.0034632788,"((((0.015400214 / ((x8 - x14) + 0.6778919)) + (x16 * -0.09438443)) + (x26 + (0.11299323 / (x2 + (x26 + (x8 - 0.005149625)))))) * 1.0864959) - 0.17104588"
29,0.0032687765,"((x26 + -1.2038962) * (((x2 + (x8 + x2)) + (x18 * 0.28218696)) / ((x8 * (((x16 * 0.31306377) + -0.83915806) + (x2 * x2))) + 2.5457997))) - -1.0414078"
