Complexity,Loss,Equation
1,0.033313874,"x26"
3,0.031292643,"x26 * 0.9078967"
5,0.031109095,"x26 + (0.01574173 / x2)"
7,0.028028334,"x26 * ((x8 * 0.39149618) + 0.8092845)"
9,0.017482748,"(x8 - ((x26 - x2) + 1.0478314)) * -0.6336758"
11,0.015832651,"((((1.1644208 - x26) / x2) * 0.095986575) + x26) - 0.11717411"
13,0.015729247,"(((((1.2335893 - x26) * 0.09251576) / x2) + x26) - 0.12293221) * 0.9686207"
15,0.013462564,"(1.0386796 - x2) - ((-0.7033363 - (-0.070779555 / x2)) * ((x8 * -1.0291073) + x26))"
17,0.012896519,"(((1.0470922 - x2) / 1.1902313) + (x8 * -0.5391118)) - (x26 * (-0.7475682 - (-0.05436669 / x2)))"
19,0.009655524,"(x8 * -0.48265067) + ((x12 * -0.15442316) + ((1.0230464 - x2) - (x26 * (-0.78328687 - (-0.07504711 / x2)))))"
21,0.0077199508,"(x2 * ((x8 - (x12 * -0.29256883)) * -0.6790997)) + (1.0041423 - (x2 - ((0.7138647 - (0.072603576 / x2)) * x26)))"
23,0.0076802964,"((x2 * -0.6728227) * (x8 + (x12 * 0.29611158))) + ((1.0052361 - x2) - ((-0.7443412 - (-0.10256145 / (x2 + 0.043331847))) * x26))"
