Complexity,Loss,Equation
1,0.027903529,"x26"
3,0.027600236,"x26 + 0.017414011"
5,0.025111752,"x26 + (0.016901443 / x2)"
7,0.02053519,"x26 + (0.041991368 / (x8 + x2))"
9,0.009397164,"x26 + (0.008470183 / (x8 + (x2 - 0.10371506)))"
11,0.008138759,"x26 + (0.012600799 / ((x8 * 5.1466775) + (x2 * x2)))"
13,0.007873198,"(0.012947006 / ((x8 * 5.166802) + (x2 * x2))) + (x26 - 0.016812097)"
15,0.006315785,"x26 + ((((x17 + -1.165863) * (0.108608544 / x2)) + 0.15349296) * (x26 - 0.9998508))"
17,0.0046618218,"((((((x8 + x20) * 0.08739526) + -0.12475433) / x2) + 0.13166468) * (x26 - 1.0073816)) + x26"
19,0.0044290456,"x26 + ((((0.14170259 - (x19 * -0.19048151)) + (-0.11707827 / x2)) * (x26 - 1.0037683)) * (x21 + 1.1058351))"
21,0.0043930653,"(x26 / 0.9849719) + (((x26 - 0.98963207) * (x21 + 1.134304)) * ((-0.11554467 / x2) + (0.13725086 - (x19 * -0.1928762))))"
23,0.0043201596,"((((-0.11484085 / x2) + 0.13445568) - (x19 * -0.178262)) * ((x21 + 1.1270429) * ((x12 * -0.20204139) + (x26 - 1.0001466)))) + x26"
25,0.0042684865,"(x26 / 0.983432) + (((-0.115786485 / x2) + (0.13182566 - (x19 * -0.18732372))) * ((1.1360246 + x24) * (x26 - ((x12 * 0.32866415) + 0.983432))))"
29,0.0041886056,"(((((-0.11346632 / (x2 + x7)) + 0.13190024) - (x19 * -0.19912688)) * ((x24 + 1.1423966) / 0.9814942)) * (x26 - ((x12 * 0.3279996) + 0.9743876))) + (x26 / 0.96876067)"
