Complexity,Loss,Equation
1,0.026506998,"x26"
3,0.02608933,"x26 - -0.020457506"
5,0.023926243,"(0.01624622 / x2) + x26"
7,0.023673603,"x26 + (0.047750216 - (x8 * 0.15668336))"
9,0.021280326,"x26 + (((x2 + x19) * -0.15255971) - -0.1358442)"
11,0.014704147,"(x26 + (((x8 + -1.0949286) + x2) * -0.5469205)) * 0.7739035"
13,0.012420948,"((x2 + -1.1126102) * (((x26 * 0.55898565) + -0.727823) + x2)) + x26"
15,0.008880496,"((-0.95989275 + (x26 * x26)) * ((x19 * 0.43068308) + (x2 + -1.014384))) + x26"
17,0.0032263685,"x26 + (((x26 * x26) + -1.0023555) * ((x2 + -1.0622133) + ((x21 + x8) / 2.7535958)))"
19,0.0021350067,"(((x26 * x26) + -1.0090088) * (((x19 * 0.29708967) + ((x8 / 2.4116209) + x2)) + -1.0700564)) + x26"
21,0.0020295123,"(((((x19 * 0.27898535) + (x8 / 2.3342543)) + (x2 + -1.0695646)) * ((x26 * x26) + -1.0401604)) + x26) / 1.0252048"
23,0.0020204973,"((((x19 * 0.27687374) + ((x2 + (x8 / (x26 + 2.335191))) + -1.0689787)) * ((x26 * x26) + -1.0587565)) + x26) / 1.0378699"
25,0.0019640524,"((((x26 * x26) + -1.0431124) * ((((x8 / ((x26 * 0.4391141) + 2.3597457)) + x2) + -1.0688574) + (x19 * 0.28574753))) + x26) / 1.0291474"
27,0.0018934481,"((((x19 * 0.2772717) + (x2 + ((x8 / ((x26 * (x26 * x26)) + 2.3364327)) + -1.0689895))) * ((x26 * x26) + -1.0583068)) + x26) / 1.0376973"
29,0.0018899635,"(x26 + (((x19 * 0.27475676) + (((x8 / (((x26 * x26) * x26) + 2.3360605)) + (x2 + -1.0690811)) * 0.9862621)) * ((x26 * x26) + -1.060516))) / 1.0370239"
