Complexity,Loss,Equation
1,0.028175337,"x26"
3,0.027912393,"x26 - -0.0162047"
5,0.025840389,"(0.01535709 / x2) + x26"
7,0.021297691,"x26 + (0.045829788 / (x2 + x8))"
9,0.010726919,"x26 + (0.078228526 / (x2 - (x26 / 0.0015624121)))"
11,0.00816285,"x26 + ((0.12173171 / (x8 + (x26 + x2))) - 0.13872114)"
13,0.0074137496,"(x26 + ((0.12273381 / ((x26 + x8) + x2)) - 0.13664293)) * 1.0464283"
15,0.006036508,"(x26 + -0.11417018) + ((0.8008817 - x8) * (0.15784128 / (x2 + (x26 * 0.69666284))))"
17,0.0060115084,"(x26 + (((0.8385997 - x8) / (((x26 * 0.6901752) + 0.021141099) + x2)) * 0.18062408)) + -0.13515218"
19,0.0052301143,"(x26 + -0.13906719) + (((x18 * -0.10230119) + (0.14338833 / ((x26 * 0.6109013) + x2))) * (0.89617777 - x8))"
21,0.004921514,"((((x19 * -0.13205606) + (0.14576092 / ((x26 * 0.6877771) + x2))) * (0.8913246 - x8)) + (x26 / 0.96246094)) + -0.1474367"
23,0.0044695074,"((x26 + -0.15750332) + ((0.86794233 - x8) * (((x17 * x17) * 0.20179173) + (0.14882405 / ((x26 * 0.6861903) + x2))))) / 0.9777794"
25,0.0041431477,"(x26 / 0.953401) + (((0.9300374 - x8) * ((0.14299695 / (x2 + (x26 * 0.6806386))) + (0.10606778 * ((x17 - x2) * x19)))) + -0.1734775)"
29,0.004048383,"(x26 + (((0.87931067 - x8) * ((x17 * ((x17 - x2) * 0.12583154)) + (0.14827815 / ((x26 * 0.68716407) + x2)))) + (-0.1714916 - (x14 * -0.0335307)))) / 0.9663798"
