Complexity,Loss,Equation
1,0.019090146,"x26"
3,0.018908683,"x26 * 0.9697364"
5,0.018001886,"x26 - (-0.014074972 / x2)"
7,0.01578128,"x26 - (-0.0026648145 / (x2 + -0.10422038))"
9,0.010644345,"x26 - (-0.0116611365 / (x2 + (x8 - 0.09992049)))"
11,0.010065431,"(x26 * 0.9448043) - (-0.0116611365 / (x2 + (x8 - 0.09992049)))"
13,0.009648974,"((0.9448043 * x26) - (-0.0116611365 / ((x8 + x2) - 0.09992049))) + -0.019723522"
15,0.007783903,"(x26 - ((x8 - 0.8753055) * (-0.12578435 / (x2 / (x26 - 1.1635039))))) - 0.1201829"
17,0.007779098,"((x26 * 0.992726) - ((0.8632802 - x8) * (0.12541689 / (x2 / (x26 - 1.178414))))) - 0.1201296"
19,0.0071142446,"x26 - ((((1.2526214 - x17) * (-0.111128286 / (x2 / (x26 - 1.1778425)))) * (x8 - 0.7656186)) - -0.1278934)"
21,0.00686044,"x26 - (((((1.2975749 - (x17 * x2)) * (x8 - 0.8099243)) * -0.10088617) / (x2 / (x26 - 1.1942004))) - -0.13200875)"
23,0.0066944887,"x26 - ((((1.1553363 - (x17 * x2)) * -0.10742859) * (((x8 * x2) - 0.84340286) / (x2 / (x26 - 1.1818074)))) - -0.13827343)"
25,0.006072679,"x26 - ((((0.9958702 - (x2 * (x8 + x17))) * ((x23 * -0.5145057) - 1.014711)) * (-0.115113124 / (x2 / (x26 - 1.1211869)))) - -0.13209923)"
27,0.006059862,"x26 - (((((x23 * (-0.29286852 - x8)) - 1.014711) * (-0.115113124 / (x2 / (x26 - 1.1211869)))) * (0.9958702 - (x2 * (x17 + x8)))) - -0.13209923)"
29,0.0060512754,"x26 - ((x10 + ((((1.0030293 - ((x17 + x8) * x2)) * (((-0.29335696 - x8) * x23) - 1.0249959)) * -0.1116384) / (x2 / (x26 - 1.1321732)))) - -0.13218078)"
