Complexity,Loss,Equation
1,0.035029273,"x25"
3,0.016985929,"x26 - -0.016060894"
5,0.01534147,"x26 + (x19 * -0.09238711)"
7,0.012993001,"(0.0015134091 / (x2 + -0.10821036)) + x26"
9,0.008366058,"x26 + (0.013395195 / ((x8 + -0.09764073) + x2))"
11,0.0075417613,"x26 + ((0.114272386 / (x2 + (x8 / x2))) - 0.09643096)"
13,0.0068119452,"(x26 - (x19 * 0.082890205)) + (0.013318889 / (x2 + (x8 + -0.097404726)))"
15,0.0060704197,"x26 + ((0.112946324 / ((x8 / x2) + x2)) - (0.104002796 - (x18 * -0.0830907)))"
17,0.0054795835,"(0.11689076 / (x2 + (x8 / x2))) + ((x26 - 0.11649586) - ((x2 * 0.10841426) * x19))"
19,0.005128605,"((0.1254961 / ((x8 / (x2 / 0.8043163)) + x2)) + (x26 - 0.12775837)) - (x2 * (x19 * 0.11437031))"
21,0.0046323026,"(((0.119247906 / (((x8 + (x26 * 0.1364286)) * (x26 - -1.1771693)) + x2)) - 0.116538614) - (x17 * 0.08292526)) + x26"
23,0.004122292,"(0.121182784 / (((x8 + (x26 * 0.1041955)) * (x26 - -1.3109264)) + x2)) + ((x26 - 0.12703525) - ((x19 * x2) * 0.10605916))"
25,0.0035125455,"((x26 + (0.12595746 / (x2 + (((x26 * 0.056540113) + x8) * ((x26 - -1.2822192) * 1.6769148))))) - 0.13213287) - ((x2 * x19) * 0.10005069)"
29,0.0033936473,"((0.12393236 / (x2 + ((x26 - -1.3011584) * ((x8 + 1.2797331) * ((x26 * 0.084922925) + x8))))) + x26) - (0.1307328 - (((x2 * -0.19056167) - -0.08777474) * x19))"
