Complexity,Loss,Equation
1,0.026083566,"x26"
3,0.025629165,"x26 + 0.021281224"
5,0.023459144,"(0.016392428 / x2) + x26"
7,0.018767916,"(0.0018159556 / (x2 + -0.10680682)) + x26"
9,0.00763996,"(0.008323935 / (x2 + (x8 + -0.10395826))) + x26"
11,0.0065922127,"x26 + (0.012797413 / (x8 + (x2 + (x26 + -0.09925796))))"
13,0.0058752503,"x26 + ((0.06552516 / (((x8 + -0.051627997) + x2) + x26)) - 0.07642076)"
15,0.0053440994,"(x8 * -0.118887134) + (((((x26 * -0.012418584) + 0.012730723) / x2) / x2) + x26)"
17,0.0048618806,"x26 + ((((((x26 * -0.0122518) + 0.012960602) / x2) / x2) + (x17 * -0.08261206)) + -0.03128068)"
19,0.00425042,"((x8 * -0.10554519) + ((((x26 * -0.012151379) + 0.012603185) / x2) / x2)) + (x26 + (x18 * -0.055903763))"
21,0.0039477954,"((((x26 - x19) * 0.16914412) * (x2 + x19)) + (x26 + -0.12131626)) + (((x26 * -0.10761525) + 0.12287906) / x2)"
23,0.0038275358,"(((x2 + x18) * (x26 - (x19 - 0.17561409))) * 0.18019174) + ((x26 + -0.14746895) + (((x26 * -0.11107138) + 0.12768395) / x2))"
25,0.0037671397,"(((x2 + (x17 / 1.469707)) * (x26 - (x19 - 0.31908202))) * 0.19753085) + ((x26 + -0.18900128) + (((x26 * -0.11162659) + 0.13269028) / x2))"
27,0.0037660412,"(((x26 * -0.11136683) + 0.13199854) / x2) + ((x26 + (x6 + -0.18458213)) + ((x26 - (x19 - 0.30569303)) * ((x2 + (x17 / 1.4404579)) * 0.19493532)))"
29,0.0036973879,"(x26 + -0.12840147) + ((((x26 * -0.1057697) + 0.1229873) / x2) + ((x26 - x19) * ((x2 * 0.1565897) + (((0.15837632 - x19) * 0.22275247) * (-0.18053566 - x8)))))"
