Complexity,Loss,Equation
1,0.024695924,"x26"
3,0.024326008,"x26 * 0.95887387"
5,0.02332695,"x26 + (0.014939915 / x2)"
7,0.0217909,"((0.024884325 / x2) + x26) * 0.90696186"
9,0.016749632,"(((x26 - x2) + 1.0415782) - x8) * 0.63965786"
11,0.015031898,"(((x26 - x2) - (x8 * x2)) + 1.0046333) * 0.6064668"
13,0.014988577,"(((1.0082884 - x2) + x26) * 0.60261357) + ((x8 * x2) * -0.63955617)"
15,0.013003351,"(x8 * -0.5682184) + (((x12 * 0.15301947) + 0.64805114) * ((x26 + 1.0028063) - x2))"
17,0.010756599,"((x2 * 0.59963924) * (((x8 * -1.3119125) + (x25 + (x12 * -0.40778062))) - 1.8796602)) + 1.1380663"
19,0.008593384,"((x26 + (x2 * (((x12 * -0.5449693) + (x25 + (x8 * -1.9334592))) - 2.509019))) + 2.5168085) * 0.33369723"
21,0.00815511,"(((x8 * (x26 + -1.3013263)) + 2.4966183) + ((((x12 * -0.47811434) + (x25 - 2.4616816)) * x2) + x26)) * 0.32879886"
25,0.0066748755,"(x26 + ((x8 * ((x23 * x22) + (x21 - 2.0433643))) + (((((x12 * -0.5611067) - 2.4882393) + x25) * x2) + 2.494129))) * 0.33008415"
27,0.0066640326,"((((x21 + (x23 * (x22 - 0.05337212))) - 2.0374115) * x8) + ((x26 + 2.5036135) + (x2 * (((x12 * -0.56034726) - 2.500204) + x25)))) * 0.3301186"
29,0.00662012,"(((((x12 * -0.5611067) - 2.4882393) + x25) * x2) + (2.494129 + (x26 + (x8 * ((x23 * (x22 - (-0.11824101 * x16))) + (x21 - 2.0433643)))))) * 0.33008415"
