Complexity,Loss,Equation
1,0.02809587,"x26"
3,0.027818453,"x26 + 0.01665519"
5,0.025687147,"x26 + (0.015595768 / x2)"
7,0.008838892,"(-0.00011237094 / (x26 + -0.00011238211)) + x26"
9,0.008712043,"(-0.00025961723 / (x26 + -0.00025961723)) + (x26 / 1.021143)"
11,0.0068837367,"(x26 + (-8.243167e-5 / (x26 + -8.2437175e-5))) + (x18 * -0.05839568)"
13,0.0061925766,"((x8 + x17) * -0.05839568) + ((-8.243167e-5 / (x26 + -8.2437175e-5)) + x26)"
15,0.0060211755,"(x26 + (-0.056952115 / ((x26 / 0.00066452654) + -0.056879617))) - (0.069575354 * (x18 + x8))"
17,0.005832262,"(((-0.06087869 / (-0.062078685 - (x26 / -0.0010290042))) - ((x8 + x19) * 0.07742343)) + x26) * 1.0232013"
19,0.005561597,"((-0.07620975 / ((x26 * 321.30396) + -0.076591864)) + x26) - (((x25 * -0.040928178) + 0.07820881) * (x19 + x8))"
21,0.005208299,"((-0.023902362 / ((x26 * 222.48833) + -0.023360316)) + -0.023902362) + (x26 - (((x25 * -0.08159344) + 0.09191583) * (x8 + x20)))"
23,0.00506846,"((-0.027971126 - (((x20 * -0.07680772) + 0.11512012) * (x8 + x19))) + (x26 * 1.0328951)) + (-0.07869319 / ((x26 * 627.47253) + -0.07677426))"
27,0.0046282546,"((x26 + ((-0.08233457 / ((x26 * 575.1848) + -0.07686586)) * 0.9644414)) + -0.03239137) - (((((x23 * x25) + x20) * -0.06946206) + 0.13946013) * (x19 + x8))"
29,0.0045193303,"(((x26 * 1.0485213) + (-0.08233457 / ((x26 * 575.1848) + -0.07686586))) * 0.9644414) + (-0.03239137 - (((((x24 * x25) + x19) * -0.06946206) + 0.13946013) * (x19 + x8)))"
