Complexity,Loss,Equation
1,0.026903715,"x26"
3,0.026472514,"x26 - -0.02075723"
5,0.0249469,"x26 + (x17 * -0.07302072)"
7,0.007511998,"x26 - (-4.091175e-6 / (x8 - -4.091162e-6))"
9,0.0073821824,"(x26 * 0.9781596) - (-6.674811e-5 / (x26 - -6.675564e-5))"
11,0.0055814176,"(x17 * -0.063871086) + (x26 - (-6.530376e-5 / (x26 - -6.530376e-5)))"
13,0.0049821204,"(((x18 + x8) * -0.063871115) + x26) - (-6.608721e-5 / (x26 - -6.609115e-5))"
15,0.0049222,"(1.0106543 * (((x8 + x18) * -0.063871115) + x26)) - (-6.608721e-5 / (x26 - -6.609115e-5))"
17,0.0041636988,"((x2 * -0.10287627) * (x19 + x8)) + (x26 - (0.15321064 / ((x26 / -0.001179696) - 0.15268983)))"
19,0.0036496718,"((x2 * (((x19 + x8) * -0.123348154) + -0.02593299)) + x26) - (-0.27742383 / ((x26 / 0.00023555358) - -0.27665228))"
21,0.0034092208,"((x2 * ((x19 + ((x8 + 0.21042913) * x2)) * -0.13691561)) + x26) - (-0.077468365 / (0.078039646 - (x8 / -0.000121674864)))"
23,0.0033231955,"(x26 + ((x2 * -0.14485341) * (x19 + ((x2 * (x8 + 0.18310513)) * x2)))) - (-0.07746858 / (0.07803955 - (x8 / -9.098211e-5)))"
25,0.0031760624,"(((((((x8 + 0.28239307) * x2) * x2) + x19) * (x2 * -0.17482603)) + 0.021080725) - (-0.119207144 / ((x26 / 0.00026577507) + 0.12187518))) + x26"
27,0.0031760144,"((((-0.17482603 * (x19 + (((x8 + 0.28239307) * x2) * x2))) * x2) + 0.021080725) - (-0.119207144 / (x19 + ((x26 / 0.00026577507) + 0.12187518)))) + x26"
29,0.0031429764,"((x2 * (((x8 + 0.2826537) * (x2 * x2)) + x19)) * -0.17522699) + (x26 + (0.020859014 - (-0.12064679 / ((((x19 / 0.020859014) + x26) / -0.09964301) + 0.12308779))))"
