Complexity,Loss,Equation
1,0.014230647,"x26"
3,0.014116376,"x26 * 0.9768125"
5,0.012606276,"x26 + (x18 * -0.08688038)"
7,0.01211259,"((x19 + x8) / -12.331039) + x26"
9,0.011302615,"x26 - (((x19 + x2) + -0.94534206) * 0.1381358)"
11,0.006526755,"x26 + ((x26 + -0.99540657) / (x2 * (x2 / -0.0124742435)))"
13,0.0064251735,"x26 + (((x26 + -1.0228019) / ((x2 - 0.095449455) / -0.016866917)) - 0.01497114)"
15,0.005342798,"x26 - (((x19 + -0.9093573) + x2) / ((x2 / (x26 + -1.0179335)) * -8.902893))"
17,0.004653115,"x26 - (((x19 + -0.91197294) + x2) / (((x2 * -7.846622) / (x26 + -1.0204915)) - x19))"
19,0.0036325913,"x26 - (((x20 - -1.1986548) * ((x2 + x19) + -0.9793321)) / ((x2 * -8.562441) / (x26 + -0.9969595)))"
21,0.0033945013,"x26 - ((x2 + (x19 + -1.0136127)) * (((x20 - -1.0306242) / ((x2 * -8.089602) / (x26 + -0.94935864))) + 0.05832739))"
23,0.0033338643,"(x26 - (((x2 + x19) + -1.0219094) * (((x20 - -1.0205202) / (x2 * (-8.088021 / (x26 + -0.92304105)))) + 0.07006948))) * 1.0204003"
25,0.0032836695,"(x26 - (((((x19 - -0.9431805) / ((x2 * -8.09725) / (x26 + -0.87322676))) + 0.10380362) * ((x2 + x19) + -1.1338814)) - -0.023269653)) / 0.964218"
27,0.003283104,"(((x26 + x10) - ((((x19 - -0.93832994) / ((-8.094985 / (x26 + -0.86880356)) * x2)) + 0.1063052) * (x2 + (x19 + -1.1392547)))) - 0.02433232) * 1.0378438"
29,0.003282878,"((x26 - ((x2 + (x19 + -1.1402739)) * (((x19 - -0.9353185) / ((x2 * -8.094518) / (x26 + -0.87092996))) + 0.105987765))) - (x5 + 0.024482658)) * (x7 + 1.0371535)"
