Complexity,Loss,Equation
1,0.014879269,"x26"
3,0.014805086,"x26 * 0.9812532"
5,0.013334559,"(x17 * -0.08446563) + x26"
7,0.012896439,"x26 + ((x8 + x19) * -0.08446563)"
9,0.011538409,"x26 - (((x8 * 0.11871017) + -0.031741004) / x2)"
11,0.0065849996,"x26 + ((-0.012426485 * ((-0.9943584 + x26) / x2)) / x2)"
13,0.0063779517,"(((((x26 + -1.1602091) * -0.012431252) / x2) + -0.016094) / x2) + x26"
15,0.005361881,"((((x26 * -0.012353936) + 0.012717026) / x2) / x2) + (x26 - (x8 * 0.1407172))"
17,0.0045587495,"(x26 * 1.1783973) - (((x26 / x2) + ((x19 + (-0.9955916 / x2)) - -1.025092)) * 0.1286168)"
19,0.0037700809,"(x26 * 1.1187115) - (((x2 + ((x26 / x2) + x8)) + (x19 + (-0.97582525 / x2))) * 0.12018785)"
21,0.003678116,"0.0153282 + ((x26 * 1.1377504) - (((-0.9260159 / x2) + ((x2 + ((x26 / x2) + x8)) + x19)) * 0.12501544))"
23,0.003467097,"(x26 * 1.1047786) - (((((((x2 - x8) + -0.94423443) / x2) + x8) + (x26 / x2)) + (x19 + x8)) * 0.12439735)"
25,0.003224588,"(x26 * 1.1186438) - ((((x19 + (x2 + ((-0.9541698 / x2) - (x25 * x19)))) + (x8 + (x26 / x2))) + x8) * 0.11587573)"
27,0.002891269,"(x26 * 1.1047786) - (((((x26 / x2) + x19) + (x8 + x8)) + (((-0.9442344 / x2) + x2) - ((x8 + x26) * x19))) * 0.124397375)"
29,0.0028756247,"((x26 * 1.1116788) - ((((-0.9249088 / x2) + (x8 + (x8 + ((x26 / x2) + x19)))) + (x2 - (x19 * (x8 + x26)))) * 0.125985)) + 0.006161183"
