Complexity,Loss,Equation
1,0.018336754,"x26"
3,0.01814423,"x26 * 0.97102445"
5,0.016365552,"(x18 * -0.09357121) + x26"
7,0.014118009,"x26 + (0.002552933 / (x2 + -0.10656881))"
9,0.012823419,"(x26 + -0.07134131) - (-0.06918744 / (x2 + x8))"
11,0.007983731,"((x26 + -1.0163667) * ((-0.009794701 / x2) / x2)) + x26"
13,0.0070742443,"(x26 - (((x26 + -1.4073477) * 0.076627076) / (x8 + x2))) + -0.10602254"
15,0.0063682785,"((x26 - (((x26 + -1.0395393) / x2) + x17)) * 0.09635463) + (x26 + -0.107472725)"
17,0.0055222786,"x26 + ((((x26 - ((x26 + -1.0953933) / (x2 + x8))) - x19) * 0.09415081) + -0.102940224)"
19,0.0049219793,"(((x26 - ((x19 * x2) + x8)) - ((x26 + -1.0508084) / x2)) * 0.10307432) + (x26 + -0.11381779)"
21,0.0047232853,"(((((x26 + (x8 * -1.5747693)) - ((x26 + -1.071499) / x2)) - (x2 * x19)) * 0.0999104) + -0.10800465) + x26"
23,0.004400125,"((((x26 - ((((x19 * 0.6439786) + x8) * x2) * 2.2729206)) - ((x26 + -1.0573331) / x2)) * 0.09639682) + -0.10867375) + x26"
25,0.004261787,"(((((x8 * ((x26 * x26) + -2.0638082)) + (x26 - (x19 * x2))) - ((x26 + -1.0572969) / x2)) * 0.10124345) + -0.10953815) + x26"
27,0.0040376796,"(((((x26 - (x2 * x19)) + ((((x26 + x24) * x26) + -2.5171645) * x8)) - ((x26 + -1.0459994) / x2)) * 0.10087234) + -0.10984646) + x26"
29,0.0039513367,"(x26 + (((x26 - (x2 * x19)) + (((((x26 + x24) * x26) + (x20 + -2.5221195)) * x8) - ((x26 + -1.0136857) / x2))) * 0.10649763)) + -0.11219806"
