Complexity,Loss,Equation
1,0.014714648,"x26"
3,0.014460933,"x26 * 0.96576446"
5,0.012989154,"x26 - (x19 * 0.08815183)"
7,0.008217921,"(-4.6999153e-6 / (x8 + -5.0026138e-6)) + x26"
9,0.007996208,"(-4.7054905e-6 / (x8 + -5.0025715e-6)) + (x26 * 0.9806214)"
11,0.0064772,"(x26 + (-5.6482895e-6 / (-6.0123116e-6 + x8))) - (x18 * 0.09551908)"
13,0.0060364716,"((-1.0645275e-5 / (x8 + -1.1293275e-5)) + x26) - ((x8 + x18) * 0.07700037)"
15,0.0060307537,"((-1.0645275e-5 / (x8 + (-1.1293275e-5 + x8))) + x26) - (0.07700037 * (x18 + x8))"
17,0.0050898357,"x26 + ((x19 - ((-1.1184318 - (x26 * -1.0856967)) / (x2 / (x2 + -0.94234556)))) * -0.12225087)"
19,0.0044410178,"x26 + (((x17 - ((-1.1429868 - (x26 * -1.0788114)) / (x2 / (x2 + -1.0276716)))) + x8) * -0.109539755)"
23,0.003587613,"x26 + (((x19 - ((x8 - (-1.3989676 - (x26 * -1.4329172))) * (-0.6865489 / (x2 / (x2 + -0.9862245))))) + x8) * -0.14188549)"
25,0.0035016558,"x26 + (((x8 + x19) - (((x8 + x2) - (-1.386564 - (x26 * -1.5326929))) * (-0.589427 / (x2 / (x2 + -0.9975866))))) * -0.15072228)"
27,0.0034829217,"x26 + ((((x19 + x8) - ((-0.6234887 / (x2 / (x2 + -0.96255887))) * (x8 + (x8 - (-1.2381089 - (x26 * -1.408878)))))) * -0.1682371) - x9)"
