Complexity,Loss,Equation
1,0.016932746,"x26"
3,0.01679649,"x26 - -0.011668996"
5,0.015323892,"x26 + (x19 * -0.08691587)"
7,0.013824213,"x26 + (0.036498964 / (x2 + x8))"
9,0.008630634,"x26 - (-0.014084746 / (x8 + (x2 + -0.09641654)))"
11,0.007333899,"x26 - ((((x26 + -1.0069287) / x2) * 0.011172696) / x2)"
13,0.0065098666,"(x26 - ((x26 + -1.3633057) * (0.08637648 / (x2 + x8)))) - 0.11203632"
15,0.0056144195,"x26 - ((x17 * 0.11301483) + ((x26 + -1.0272738) * ((0.11146264 / x2) - 0.117332585)))"
17,0.0055834595,"((x26 - ((x26 + -1.008236) * ((0.111183055 / x2) - 0.11432905))) + (x17 * -0.114546)) / 0.9837177"
19,0.005262886,"(((x26 - 0.0944122) - ((((x26 * 0.08804258) + -0.09723242) / (x2 + x8)) + x22)) * 1.1443111) + x22"
21,0.005056002,"((x26 - 0.087688945) * 1.1921726) + ((x22 * 0.85416776) - ((((x26 + -0.960504) * 0.11651302) / (x2 + x8)) + x22))"
23,0.004990687,"(x22 * 0.86316353) + (((x26 - 0.13923055) * 1.2214298) - (x22 + (((x26 + -1.0282669) * 0.18957785) / (x2 + (x8 + 0.07202616)))))"
25,0.003945235,"((x22 * 0.73552173) + ((x26 - 0.09566369) * 1.2606201)) - (x22 + ((((x26 + -0.8428263) * 0.14824405) - (x22 * 0.07203172)) / (x2 + x8)))"
27,0.0039451863,"((x22 * 0.734821) + ((x26 - 0.09557861) * 1.2613459)) - (((((x26 + -1.1354553) * 0.14851843) - (-0.043720502 - (x22 * -0.072292246))) / (x2 + x8)) + x22)"
29,0.0039253547,"(((x26 - 0.09487758) * 1.2679473) + (x22 * 0.7303393)) - (x22 + ((((x26 + -0.84907764) * 0.14715964) - ((x24 * -0.012890184) - (x22 * -0.082475536))) / (x2 + x8)))"
