Complexity,Loss,Equation
1,0.112498544,"x25"
3,0.09711995,"x25 * 0.7738047"
5,0.088099495,"x25 * (x8 + 0.60614455)"
7,0.046135888,"(x2 * x25) + (0.09987831 / x2)"
9,0.042908657,"((x25 * x2) + (0.11585036 / x2)) - 0.072603606"
11,0.031099921,"(((x19 * -0.35260135) + (x25 + -0.90778655)) * x2) + 0.9270322"
13,0.018117908,"(((x25 + -1.0151172) + ((x21 * -0.44892845) - x8)) * x2) + 1.0706811"
15,0.015583897,"(x2 * ((x21 * -0.4252216) + ((x8 * -0.716296) + (x25 + -0.9840073)))) + 1.0296584"
17,0.013972807,"((x2 * ((x25 + -1.1938791) + (x19 * -0.40444654))) * ((x8 * 0.49635828) + 0.8256841)) + 1.0275296"
19,0.013972806,"(((x19 * -0.40445167) + (x25 + -1.1938769)) * (x2 * ((x8 * 0.49635816) + 0.8256832))) + (1.0275329 - x7)"
21,0.0104938205,"(((x25 * 0.59267765) + (((x22 * 0.21349327) + -0.75260544) * ((x8 + 1.3526176) + (x17 * 0.5372646)))) * x2) + 1.0358673"
27,0.010438221,"((x2 * ((((((x22 + x25) + x22) * 0.103636086) + -0.77669865) * ((x17 * 0.53521997) + (1.36913 + x8))) + (x25 * 0.49619648))) + 1.0837252) / 1.0504006"
29,0.0104381,"(((x2 * (((((x25 + (x22 + x22)) * 0.10208266) + -0.76404893) * ((x8 + (x17 * 0.5344088)) + 1.3672767)) + (x25 * 0.48662257))) + 1.0646517) / 1.0850749) * 1.0516025"
