Complexity,Loss,Equation
1,0.4377103,"0.13059431"
3,0.4054998,"x12 * -0.008337975"
5,0.36093023,"(x12 - x26) * -0.009067884"
7,0.33890697,"(x12 - (x25 + x21)) * -0.010148404"
9,0.3256696,"(x12 - (x26 + (x21 + x25))) * -0.008142121"
11,0.31249216,"((x12 - (x21 + x26)) + (-14.311447 - x25)) * -0.008026884"
13,0.29656827,"-0.009732354 * ((((2.214807 - x2) * (x12 - 11.416521)) - x25) - x21)"
15,0.28009823,"((((2.2727566 - x2) * ((x12 - 11.297467) - x26)) - x25) - x21) * -0.009321704"
17,0.2656183,"-0.009732354 * (((x16 - x21) + (((x12 - 11.416521) - x26) * (2.214807 - x2))) - x25)"
19,0.2617123,"(((x16 - x21) + ((((x12 - 21.354486) - x26) * (2.2969556 - x2)) - x25)) * -0.009196722) + -0.16268444"
21,0.25663126,"(((((2.2727566 - x2) * (((x12 - (x14 / 2.647191)) - 11.297467) - x26)) - x25) + x16) - x21) * -0.009321704"
23,0.24724689,"(((x16 + (((2.3289452 - x2) * (((x12 - (x13 / 2.0307121)) - 20.69983) - x26)) - x25)) - x21) * -0.009661254) + -0.16091463"
25,0.24724121,"((((x16 + -0.16091463) + (((2.3289452 - x2) * (((x12 - (x13 / 2.0307121)) - 20.69983) - x26)) - x25)) - x21) * -0.009661254) + -0.16091463"
27,0.24474575,"((((x16 + (x19 * x2)) + (((2.3289452 - x2) * (((x12 - (x13 / 2.0307121)) - 20.69983) - x26)) - x25)) - x21) * -0.009661254) + -0.16091463"
29,0.24137837,"((((x16 + (x19 * x2)) + (((2.3289452 - x2) * (((x12 - (x13 / 2.0307121)) - 20.69983) - (x26 / 1.7394735))) - x25)) - x21) * -0.009661254) + -0.16091463"
