iteration,mean_reward
0,-11358.341182000002
1,-6635.113171960002
2,-5659.56424304
3,-6017.097249480001
4,-10961.417675319999
5,-6203.81155172
6,-5793.946872800001
7,-6511.68373392
8,-6663.04207244
9,-14824.396367239999
10,-14960.222661319998
11,-4104.32738528
12,-5631.3983584
13,-3752.77751324
14,-3691.34875812
15,-3793.0773779600004
16,-4062.0413230399995
17,-3888.123926
18,-4022.1177055999997
19,-6330.56755764
20,-5282.98334332
21,-6445.6057914
22,-5272.5216694
23,-5122.9293558399995
24,-7949.3651922
25,-6153.7942948400005
26,-3813.6347647999996
27,-3873.23491092
28,-4190.9896982
29,-3621.67389572
