episode,timestep,reward,episode_length
0,51,41.20161056518555,51
1,106,47.392032623291016,55
2,159,34.68339157104492,53
3,208,43.83454132080078,49
4,261,46.092567443847656,53
5,310,42.40895462036133,49
6,358,37.99772262573242,48
7,403,39.58479690551758,45
8,447,36.64347839355469,44
9,489,34.03516387939453,42
10,539,43.561485290527344,50
11,591,42.23907470703125,52
12,630,31.442140579223633,39
13,672,31.2047176361084,42
14,726,44.36144256591797,54
15,766,34.133758544921875,40
16,811,37.974632263183594,45
17,855,33.698795318603516,44
18,906,44.23396301269531,51
19,951,36.640785217285156,45
20,998,34.653865814208984,47
21,1062,52.237335205078125,64
22,1105,36.2522087097168,43
23,1175,56.893959045410156,70
24,1218,34.20909118652344,43
25,1268,40.93226623535156,50
26,1315,40.28608703613281,47
27,1369,43.63707733154297,54
28,1417,41.12331008911133,48
29,1465,40.646976470947266,48
30,1521,47.04962921142578,56
31,1561,33.53739547729492,40
32,1600,31.63444709777832,39
33,1646,38.91524124145508,46
34,1692,39.77505874633789,46
35,1739,38.90846252441406,47
36,1785,36.11941909790039,46
37,1839,45.6589469909668,54
38,1886,39.97633743286133,47
39,1933,40.651729583740234,47
40,1976,35.88738250732422,43
41,2014,32.3175048828125,38
42,2062,36.56008529663086,48
43,2111,40.33969497680664,49
44,2175,47.75139617919922,64
45,2215,34.194618225097656,40
46,2272,47.76693344116211,57
47,2323,37.178958892822266,51
48,2381,44.305206298828125,58
49,2436,44.45269012451172,55
50,2484,39.707122802734375,48
51,2530,36.82054901123047,46
52,2586,40.06293869018555,56
53,2636,41.66947937011719,50
54,2682,37.53041458129883,46
55,2721,32.878265380859375,39
56,2762,33.3806037902832,41
57,2805,35.07554626464844,43
58,2848,38.601646423339844,43
59,2887,31.685211181640625,39
60,2936,38.52138137817383,49
61,2982,38.155879974365234,46
62,3042,50.85007095336914,60
63,3080,31.962732315063477,38
64,3125,38.22604751586914,45
65,3175,40.1758918762207,50
66,3225,44.23158264160156,50
67,3270,37.94538116455078,45
68,3318,37.48162841796875,48
69,3364,37.348758697509766,46
70,3426,50.406654357910156,62
71,3470,36.23810958862305,44
72,3513,36.8223762512207,43
73,3561,37.23631286621094,48
74,3611,38.040122985839844,50
75,3658,36.9234733581543,47
76,3699,33.07316207885742,41
77,3747,40.70604705810547,48
78,3801,41.555843353271484,54
79,3851,38.751853942871094,50
80,3898,41.57769775390625,47
81,3945,39.942779541015625,47
82,3998,39.30279541015625,53
83,4046,41.36073303222656,48
84,4085,33.83799362182617,39
85,4134,37.77014923095703,49
86,4175,33.37598419189453,41
87,4245,56.651058197021484,70
88,4292,38.96641159057617,47
89,4339,39.01655197143555,47
90,4388,41.19731521606445,49
91,4443,39.75871658325195,55
92,4494,44.4588508605957,51
93,4537,36.226524353027344,43
94,4586,41.964969635009766,49
95,4638,46.1274299621582,52
96,4684,38.69503402709961,46
97,4751,52.329402923583984,67
98,4806,40.93947219848633,55
99,4844,33.55437469482422,38
100,4896,41.73859405517578,52
101,4948,45.78935623168945,52
102,5000,43.649356842041016,52
103,5045,34.772335052490234,45
104,5086,35.2632942199707,41
105,5133,39.886226654052734,47
106,5186,46.54274368286133,53
107,5233,40.76999282836914,47
108,5281,39.48984146118164,48
109,5330,42.67997741699219,49
110,5374,35.9379997253418,44
111,5426,43.9121208190918,52
112,5478,45.521915435791016,52
113,5535,48.35548782348633,57
114,5591,43.990230560302734,56
115,5641,42.94220733642578,50
116,5698,45.47447204589844,57
117,5738,34.76017761230469,40
118,5784,40.52643585205078,46
119,5837,37.24918746948242,53
120,5885,42.069339752197266,48
121,5936,35.67253494262695,51
122,5988,45.61581802368164,52
123,6035,40.641624450683594,47
124,6088,47.592018127441406,53
125,6166,53.07977294921875,78
126,6207,33.854400634765625,41
127,6263,49.23080062866211,56
128,6319,45.58755111694336,56
129,6367,37.40791702270508,48
130,6413,37.52883529663086,46
131,6468,47.08155059814453,55
132,6519,44.385986328125,51
133,6562,36.52227783203125,43
134,6597,30.508859634399414,35
135,6640,37.15831756591797,43
136,6697,47.4949836730957,57
137,6746,37.056278228759766,49
138,6804,46.7677116394043,58
139,6856,43.0491828918457,52
140,6899,36.623504638671875,43
141,6956,48.87076950073242,57
142,7011,46.635684967041016,55
143,7057,39.27644729614258,46
144,7102,36.64460372924805,45
145,7155,41.6393928527832,53
146,7212,48.288230895996094,57
147,7268,47.75873947143555,56
148,7317,41.605438232421875,49
149,7359,34.27561569213867,42
150,7415,48.79336929321289,56
151,7461,39.81232452392578,46
152,7509,38.33610153198242,48
153,7556,38.465415954589844,47
154,7617,54.2290153503418,61
155,7666,40.68244171142578,49
156,7705,32.16749572753906,39
157,7752,42.35416793823242,47
158,7803,45.34603500366211,51
159,7852,35.08114242553711,49
160,7898,37.54044723510742,46
161,7960,48.543174743652344,62
162,8011,38.19988250732422,51
163,8069,47.66463851928711,58
164,8122,45.53811264038086,53
165,8174,47.10858917236328,52
166,8223,38.73664093017578,49
167,8277,45.066402435302734,54
168,8339,52.38654327392578,62
169,8385,36.14319610595703,46
170,8463,71.02664947509766,78
171,8517,45.89942169189453,54
172,8582,47.557857513427734,65
173,8632,39.350772857666016,50
174,8680,40.4084587097168,48
175,8728,41.8984260559082,48
176,8775,36.579010009765625,47
177,8823,39.882076263427734,48
178,8878,41.818504333496094,55
179,8932,42.91519546508789,54
180,8973,34.51400375366211,41
181,9018,31.639177322387695,45
182,9070,40.60824966430664,52
183,9124,46.53920364379883,54
184,9179,44.91208267211914,55
185,9227,41.461387634277344,48
186,9271,37.4261589050293,44
187,9326,39.970863342285156,55
188,9375,39.24556350708008,49
189,9424,37.75318145751953,49
190,9474,36.42685317993164,50
191,9526,47.57242202758789,52
192,9578,42.48081970214844,52
193,9625,39.5322265625,47
194,9674,42.34269714355469,49
195,9730,39.353424072265625,56
196,9776,39.09915542602539,46
197,9827,40.98249435424805,51
198,9867,33.70624542236328,40
199,9922,45.30491256713867,55
200,9990,56.6802978515625,68
201,10054,49.79631423950195,64
202,10104,44.77394485473633,50
203,10155,42.86620330810547,51
204,10208,47.361358642578125,53
205,10252,30.769426345825195,44
206,10322,46.884307861328125,70
207,10380,48.76355743408203,58
208,10429,42.499107360839844,49
209,10478,43.739952087402344,49
210,10530,43.23204803466797,52
211,10574,38.06298065185547,44
212,10619,36.58705520629883,45
213,10668,43.263671875,49
214,10719,39.68106460571289,51
215,10764,38.0295295715332,45
216,10817,40.643577575683594,53
217,10882,60.93415069580078,65
218,10928,39.106231689453125,46
219,10972,35.67563247680664,44
220,11022,39.60542297363281,50
221,11085,52.77207565307617,63
222,11136,41.535560607910156,51
223,11198,42.78742218017578,62
224,11256,49.00387191772461,58
225,11329,59.9490852355957,73
226,11395,51.75541305541992,66
227,11448,44.074161529541016,53
228,11503,43.23134994506836,55
229,11553,43.059757232666016,50
230,11610,46.70283126831055,57
231,11658,41.68523406982422,48
232,11711,43.78556823730469,53
233,11768,40.9352912902832,57
234,11822,47.63605499267578,54
235,11887,54.466976165771484,65
236,11944,49.7830924987793,57
