Complexity,Loss,Equation
1,2.763405,"x3"
2,2.760196,"square(x3)"
3,2.7429874,"x0 * x3"
4,2.732187,"x3 * exp(x0)"
5,2.6367574,"(x3 * x0) * 7.1482964"
6,2.59493,"square(square(exp(x3) * x0))"
7,2.542946,"x3 * ((x0 - x2) * 12.450825)"
8,2.3639684,"square((x0 - x2) * square(exp(x3)))"
9,2.3019755,"square(square(x2 - x0) * exp(exp(x3)))"
10,2.2373223,"square(exp(exp(square(x3))) * square(x2 - x0))"
11,2.177331,"square(exp(exp(x3 - x1)) * square(x0 - x2))"
12,2.171024,"square(square(square(((x0 - x2) + 0.936497) - x1))) * x3"
13,2.0108023,"square(square(square(square((x0 - x2) + 0.6646092) - x1))) * x3"
14,1.9360559,"square(square(square(x1 - square(square((0.29417637 - x2) + x0)))) * 36.81399)"
15,1.6598085,"square(square(square(x1 - square(x2 - ((x0 - x2) + 0.33741736))))) * 227.24991"
16,1.5157552,"square(square(square(square((0.56175727 - x2) + square(x0 - x2)) - x1) * 4.2746162))"
18,1.3794179,"square(square(square(square(square(x2 - ((x0 + 0.326852) - x2))) - (x1 * x4))) * 43.396263)"
