Complexity,Loss,Equation
1,2.5526998,"0.14005405"
3,2.5446732,"x0 * 0.27631965"
4,2.5125227,"square(x0 - x2)"
6,2.4992712,"x0 * exp(x2 * -7.755934)"
7,2.4831,"square(square((x2 - x0) * 1.4109439))"
8,2.425263,"square(square(square((x0 - x2) * 1.5764297)))"
9,2.314509,"square(square(square(square((x2 - x0) * 1.6074479))))"
10,2.1739786,"square(square((square(x0 - x2) * 5.0482106) - x4))"
11,1.92524,"square(square(square((3.6468596 - x4) * square(x2 - x0))))"
12,1.8264259,"square(square(square(square(x0 - x2) * (square(x4) - 3.601792))))"
13,1.6219807,"square(square(square(x1 - ((3.9965832 - x4) * square(x2 - x0)))))"
15,1.4600118,"square(square(0.40462193 - (x4 - square(square((x2 - x0) * 1.8990428) - x1))))"
17,1.4237868,"square(0.41030225 - square((x4 - square(square((x2 - x0) * 1.8819628) - x1)) - 0.6141546))"
18,1.4052948,"square(square((x4 - square(x1 - square((x2 - x0) * 1.8819628))) - 0.6141546) - square(x0))"
