Complexity,Loss,Equation
1,10.007813,"x3"
3,9.863632,"x3 * 2.8411763"
4,9.7424,"square(x3) * 4.3357663"
5,9.52576,"square(exp(x3 - x2))"
6,9.386732,"square(exp(x3 - sqrt(x2)))"
7,8.977375,"square(square(x0 + (x3 - x2)))"
8,8.213155,"square(x0 * square(exp(x3 - x2)))"
9,7.5708327,"square(square(square(square(x3) + (x0 - x2))))"
10,7.4370794,"square(square(square((sin(x0) - x2) + square(x3))))"
11,6.6661,"sqrt(exp(((x0 + (x3 - x2)) * 31.587458) - 43.770542))"
13,6.6129947,"sqrt(exp(((x0 + (x3 - x2)) * 31.474297) - 43.600777)) - -0.2424921"
15,6.5529656,"square(square(exp(square((x0 - x2) + x3) * 1.9472834) * -0.015999418)) + 0.24226272"
17,6.48973,"square(square(exp(square((x3 + (x0 - x2)) * 1.3513432)) * -0.021789623)) + (0.4361746 - x2)"
18,6.4198813,"x0 + (square(square(exp(square((x3 + (x0 - x2)) * 1.4446406)) * -0.011148948)) - sqrt(x2))"
